open,close,side,entry,exit,sl,tp,r,pnl,tags
2025-07-19 10:00:00+00:00,2025-07-19 14:00:00+00:00,LONG,118537.0,117774.68461914881,117774.68461914881,120061.63076170237,-1.0,-762.3153808511852,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-21 04:00:00+00:00,2025-07-21 16:00:00+00:00,LONG,118438.0,117620.98258022293,117620.98258022293,120072.03483955414,-1.0,-817.0174197770684,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-22 08:00:00+00:00,2025-07-25 02:00:00+00:00,LONG,118324.5,117157.01794368555,117157.01794368555,120659.46411262889,-1.0,-1167.4820563144458,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-29 03:00:00+00:00,2025-07-29 14:00:00+00:00,LONG,118787.0,117952.98219206088,117952.98219206088,120455.03561587824,-1.0,-834.0178079391189,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-30 03:00:00+00:00,2025-07-30 11:00:00+00:00,LONG,118163.0,117396.4127408101,117396.4127408101,119696.17451837979,-1.0,-766.5872591898951,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-30 14:00:00+00:00,2025-07-30 15:00:00+00:00,LONG,118728.0,117883.05919085901,117883.05919085901,120417.88161828197,-1.0,-844.940809140986,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-31 00:00:00+00:00,2025-07-31 18:00:00+00:00,LONG,118427.0,117477.0146002037,117477.0146002037,120326.97079959259,-1.0,-949.9853997962928,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-08-06 18:00:00+00:00,2025-08-07 02:00:00+00:00,LONG,115493.0,114639.79248454513,114639.79248454513,117199.41503090973,-1.0,-853.2075154548656,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-08-07 17:00:00+00:00,2025-08-10 07:00:00+00:00,LONG,116576.5,118199.16455235571,115765.16772382215,118199.16455235571,2.0,1622.664552355709,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-08-10 08:00:00+00:00,2025-08-11 01:00:00+00:00,LONG,118365.5,119849.32918184911,117623.58540907544,119849.32918184911,2.0,1483.8291818491125,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-08-12 12:00:00+00:00,2025-08-12 19:00:00+00:00,LONG,119309.5,119961.5,118412.64549433041,121103.20901133918,0.7269852533251419,652.0,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
